image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FBFE3230>,bed,colonial,gray,marble,wingback,tall headboard,kids,standard,"Professional product photography of a colonial gray bed, made of marble, wingback shape, featuring tall headboard, kids in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC0DC410>,bed,bauhaus,gold,wool,modular,wooden legs,kids,elite,"Professional product photography of a bauhaus gold bed, made of wool, modular shape, featuring wooden legs, kids in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FBFDFC50>,bed,bohemian,silver,cork,curved,leather trim,penthouse,premium,"Professional product photography of a bohemian silver bed, made of cork, curved shape, featuring leather trim, penthouse in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC026B10>,bed,victorian,emerald,bamboo,platform,adjustable base,loft,luxury,"Professional product photography of a victorian emerald bed, made of bamboo, platform shape, featuring adjustable base, loft in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC025E00>,bed,provincial,azure,oak,angular,wide base,nursery,elite,"Professional product photography of a provincial azure bed, made of oak, angular shape, featuring wide base, nursery in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC0268B0>,bed,coastal,bronze,pine,asymmetric,side tables attached,studio,premium,"Professional product photography of a coastal bronze bed, made of pine, asymmetric shape, featuring side tables attached, studio in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC026D70>,bed,colonial,gold,wool,wingback,foldable frame,suite,premium,"Professional product photography of a colonial gold bed, made of wool, wingback shape, featuring foldable frame, suite in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC026EA0>,bed,scandinavian,gray,brass,geometric,storage drawer,studio,budget,"Professional product photography of a scandinavian gray bed, made of brass, geometric shape, featuring storage drawer, studio in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC026FD0>,bed,bohemian,emerald,aluminum,asymmetric,wall mounted,kids,custom,"Professional product photography of a bohemian emerald bed, made of aluminum, asymmetric shape, featuring wall mounted, kids in mind, custom price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC027100>,bed,minimalist,beige,leather,slim,basic frame,vacation,budget,"Professional product photography of a minimalist beige bed, made of leather, slim shape, featuring basic frame, vacation in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
